A7N25S  	012	WED	473	SCENIC CRUISING AIAL	1200	1700	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	012	WED	472	SCENIC CRUISING CHIS	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	012	WED	471	SCENIC CRUISING KENA	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	013	THU	***	AT SEA              	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	014	FRI	IN2	INIAN ISLANDS       	0430	1030	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	014	FRI	IS1	ICY STRAIT POINT    	1400	2000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	015	SAT	JNU	JUNEAU              	0800	2200	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	016	SUN	SE1	SEDUCTION POINT     	0500	0530	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	016	SUN	HNS	HAINES              	0800	1800	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	017	MON	477	SCENIC CRUISING TRAC	0700	1900	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	001	SAT	468	CRUISING THE QUEEN C	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	018	TUE	SIT	SITKA               	1000	1800	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	018	TUE	467	TRANSIT DECISION PAS	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	019	WED	464	SCENIC CRUISING SUMN	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	019	WED	WRG	WRANGELL            	0800	1700	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	020	THU	476	SCENIC CRUISING BEHM	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	020	THU	456	SCENIC CRUISING MIST	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	020	THU	RUD	RUDYERD BAY (MISTY F	0800	1800	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	021	FRI	KTN	KETCHIKAN           	0800	2200	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	022	SAT	YPR	PRINCE RUPERT       	0800	1800	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	022	SAT	457	SCENIC CRUISING GREN	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	002	SUN	KTN	KETCHIKAN           	0800	2300	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	022	SAT	463	SCENIC CRUISING PRIN	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	023	SUN	YKT	KLEMTU              	0600	1700	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	023	SUN	470	SCENIC CRUISING BELL	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	024	MON	AL4	ALERT BAY           	0600	1600	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	024	MON	462	SCENIC CRUISING JOHN	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	024	MON	466	TRANSIT THE SEYMOUR 	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	025	TUE	YVR	VANCOUVER           	0700	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	003	MON	RUD	RUDYERD BAY (MISTY F	0800	1800	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	003	MON	456	SCENIC CRUISING MIST	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	003	MON	476	SCENIC CRUISING BEHM	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
