A7G07Z  	001	SUN	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G07Z  	002	MON	JNU	JUNEAU              	1300	2200	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G07Z  	003	TUE	SGY	SKAGWAY             	0700	2100	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G07Z  	004	WED	GB1	GLACIER BAY         	0700	1600	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G07Z  	005	THU	KTN	KETCHIKAN           	1000	1800	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G07Z  	006	FRI	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G07Z  	007	SAT	YVR	VANCOUVER           	0700	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G70S  	000	WED	YVR	VANCOUVER           	0000	1630	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G70S  	001	THU	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G70S  	002	FRI	JNU	JUNEAU              	1300	2200	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G70S  	003	SAT	SGY	SKAGWAY             	0700	2100	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G70S  	004	SUN	GB1	GLACIER BAY         	0700	1600	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G70S  	005	MON	KTN	KETCHIKAN           	1000	1800	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G70S  	006	TUE	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G70S  	007	WED	YVR	VANCOUVER           	0700	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7L14Y  	000	MON	SEA	SEATTLE             	0000	1600	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A7L14Y  	009	WED	ADQ	KODIAK              	0700	1400	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A7L14Y  	010	THU	HUB	HUBBARD GLACIER     	1400	1800	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A7L14Y  	011	FRI	SIT	SITKA               	0800	1600	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A7L14Y  	012	SAT	***	AT SEA              	0000	0000	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
A7L14Y  	013	SUN	YYJ	VICTORIA, CANADA    	1300	2300	14-DAY GREAT ALASKAN EXPLORER                                                  	20170731
